Molecule Name	Molecule Structure	Molecule Formula	Precursor charge	Precursor m/z (native)	Precursor m/z (reduced)	Product Name	Product Formula	Product m/z (native)	Product m/z (reduced)	Product Charge
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	H(3)	C18H30N0O15	487.16630029450005	487.16630029450005	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
3_2_0_0_b	(J(N(H(H)(H))))	C34H56O25N2	1	911.3356130000002	913.3512630000001	N(1)H(3)	C26H43N1O20	690.2456728275	690.2456728275	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	J(1)	C8H13N1O5	222.097762533	224.113412533	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	N(1)	C8H13N1O5	204.087202533	204.087202533	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	X(1)	C5H8N0O4	133.05008874520001	133.05008874520001	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	H(2)	C12H20N0O10	325.113476863	325.113476863	1
2_2_0_0_0_1_a	(J(N(H(H)(X))))	C33H54O24N2	1	881.3250480000002	883.3406980000001	H(1)X(1)	C11H18N0O9	295.1029121767	295.1029121767	1
